review_id,product_id,category,seller_id,user_id,rating,review_text,delivery_time,verified_purchase,helpful_votes,review_date,sales,review_length,word_count,sentiment_label
R10000,P1131,Home & Kitchen,S278,U11755,3,Neither good nor bad; warranty could be better.,4,False,0,2021-10-16,92,47,8,neutral
R10001,P1386,Toys,S203,U6848,1,STOPPED WORKING AFTER A FEW DAYS. TERRIBLE MATERIAL. CUSTOMER SUPPORT HELPED.,3,True,0,2024-10-09,67,77,11,negative
R10002,P1383,Grocery,S225,U10507,4,Five stars. Great battery and fast delivery.,3,True,0,2023-08-24,114,44,7,positive
R10003,P1012,Beauty,S220,U10075,2,Stopped working after a few days. Terrible performance.,7,False,1,2022-09-11,45,55,8,negative
R10004,P1332,Books,S323,U8344,1,Bad experience — packaging is subpar and delivery was late. Will buy again.,4,True,2,2024-01-06,37,75,13,negative
R10005,P1069,Beauty,S311,U8183,1,Stopped working after a few days. Terrible warranty.,3,True,1,2021-11-13,33,52,8,negative
R10006,P1453,Sports,S277,U8398,2,Wrong size and bad packaging. packaging was the main issue.,6,True,0,2022-03-21,30,59,10,negative
R10007,P1227,Electronics,S229,U8642,3,Neither good nor bad; size could be better. Packaging was neat.,3,True,0,2023-03-27,45,63,11,neutral
R10008,P1141,Beauty,S255,U6554,1,Wrong size and bad packaging. packaging was the main issue. Not worth the price.,3,True,0,2022-11-15,16,80,14,negative
R10009,P1124,Electronics,S288,U6031,1,Bad experience — price is subpar and delivery was late. Not worth the price.,3,True,7,2021-10-30,51,76,14,negative
R10010,P1403,Home & Kitchen,S217,U9882,2,Stopped working after a few days. Terrible quality.,6,True,0,2021-12-24,42,51,8,negative
R10011,P1056,Sports,S309,U10415,3,It's okay. The quality is average. Not worth the price.,7,True,3,2023-05-13,60,55,10,neutral
R10012,P1269,Toys,S311,U5931,1,Wrong size and bad packaging. packaging was the main issue.,1,True,4,2022-03-30,56,59,10,negative
R10013,P1484,Books,S348,U10038,5,Five stars. Great quality and fast delivery.,7,False,0,2023-05-24,97,44,7,positive
R10014,P1351,Home & Kitchen,S348,U5884,5,Loved it — warranty exceeded my expectations. Will buy again.,1,True,1,2024-07-02,97,61,10,positive
R10015,P1324,Sports,S318,U9795,3,Decent product for the price. performance is acceptable.,4,True,0,2024-05-24,48,56,8,neutral
R10016,P1220,Clothing,S272,U5812,3,Decent product for the price. packaging is acceptable.,1,True,1,2023-07-14,66,54,8,neutral
R10017,P1454,Home & Kitchen,S250,U6871,2,Stopped working after a few days. Terrible material.,5,True,2,2022-10-03,58,52,8,negative
R10018,P1340,Electronics,S330,U7088,4,Very satisfied with the fit and performance. Works as expected.,2,True,5,2023-06-04,116,63,10,positive
R10019,P1049,Home & Kitchen,S226,U11099,1,Bad experience — fit is subpar and delivery was late.,3,True,2,2021-09-08,52,53,10,negative
R10020,P1210,Electronics,S219,U7896,5,"Excellent product, great material, highly recommend!",1,True,0,2022-03-12,76,52,6,positive
R10021,P1079,Grocery,S262,U10379,4,Very satisfied with the warranty and performance. Works as expected.,4,True,1,2022-07-25,112,68,10,positive
R10022,P1293,Clothing,S331,U6852,3,Decent product for the price. material is acceptable.,5,True,0,2021-02-23,68,53,8,neutral
R10023,P1311,Sports,S324,U10388,1,Very disappointed. Poor battery and arrived damaged.,3,True,0,2021-01-13,42,52,7,negative
R10024,P1092,Home & Kitchen,S324,U6173,3,Decent product for the price. price is acceptable.,6,True,0,2023-12-23,79,50,8,neutral
R10025,P1110,Clothing,S325,U8081,4,Loved it — material exceeded my expectations.,4,True,2,2024-03-08,87,45,7,positive
R10026,P1305,Grocery,S252,U5695,1,Bad experience — quality is subpar and delivery was late.,5,True,0,2024-09-17,60,57,10,negative
R10027,P1217,Toys,S208,U8978,5,Loved it — price exceeded my expectations.,4,True,0,2021-08-16,89,42,7,positive
